feature,rf_importance,gb_importance,xgb_importance,mutual_info,f_score,rf_importance_norm,gb_importance_norm,xgb_importance_norm,mutual_info_norm,f_score_norm,avg_importance,rank
amt,0.19608715225998175,0.21653410228329298,0.34676686,0.017415387036823993,65576.03460408273,0.9960600752358544,0.8901457894802004,1.0,0.07114830848597539,0.7948106493543822,0.7504329645112825,1
hour_cos,0.08329400543092268,0.1226779571729803,0.1975057,0.025026630532985594,8214.657780005136,0.4231069315863205,0.5043144053895586,0.5695634,0.10224305815084053,0.09956529887434534,0.33975861656510553,2
amt_deviation,0.10771737199202913,0.008300276224285457,0.01387085,0.012372778945469731,82505.22895906035,0.5471698294049112,0.034121442556442914,0.040000506,0.050547386135014125,1.0,0.3343678327683558,3
amt_log,0.19686277678939273,0.05004953291522506,0.0,0.017400423155582434,19085.873050137823,1.0,0.20574764215038713,0.0,0.07108717548695155,0.23132925380533592,0.30163281428853495,4
category_encoded,0.025356465037413484,0.24325689661436,0.067740574,0.025108101682578376,529.5819794654541,0.12880273991329644,1.0,0.19534904,0.10257589798217347,0.006418768678628069,0.2866292888442691,5
same_state_area,0.0,0.0,0.0,0.24477584087971505,,0.0,0.0,0.0,1.0,,0.25,6
avg_amt_by_card,0.01474446315522346,0.05799024181298414,0.011803913,0.005608633028940768,59797.299432812826,0.0748971613409545,0.23839094644423267,0.03403991,0.022913343934530282,0.724769813831856,0.21900223528685697,7
category_fraud_rate,0.05245666350696996,0.058317553713891086,0.094626755,0.024849895056952453,6518.59947613592,0.2664630884643521,0.2397364865109788,0.27288294,0.10152102825034888,0.0790083193317419,0.19192237218848632,8
trans_year,3.6923171160136945e-05,0.00034972076933165554,0.0,0.20430623233712497,11.698273330769926,0.00018755791095864712,0.0014376602439604203,0.0,0.8346666550214112,0.00014178826576646055,0.16728673228841937,9
amt_category_encoded,0.05573545428987276,2.6536157892719453e-16,0.020983666,0.06971660908274968,16006.18146358415,0.28311829792739096,1.0908697044995912e-15,0.060512315,0.28481817826543193,0.1940020246659339,0.16449016326813182,10
trans_hour,0.04503962879795033,0.06515757481023131,0.026874755,0.019198316495374512,246.9629061420301,0.2287869222028424,0.2678549949337178,0.07750093,0.07843223590357812,0.0029933000521042705,0.13111367700217272,11
job_fraud_rate,0.009454815976751458,0.008204055877724863,0.023661807,0.0024130690173880254,40385.38463029559,0.04802744394318072,0.03372589222303085,0.068235494,0.009858280983595225,0.4894887892540132,0.129867180120047,12
gender_encoded,0.0008121156401430614,0.013295864562523685,0.0063071596,0.1281552250432263,75.72110614223602,0.004125287946191458,0.05465770856890394,0.018188473,0.5235615761042482,0.0009177734199102623,0.12029016377529274,13
trans_is_business_hours,0.020363689069347723,4.898595180902123e-15,0.002446185,0.1100496635410273,3242.535552474618,0.10344103340131769,2.0137538746405877e-14,0.007054264,0.44959364921600514,0.03930097029466564,0.11987798342070935,14
distance_category_encoded,0.0004413806287706376,0.0,0.0,0.13442141034754118,0.2978143908652247,0.002242072554136704,0.0,0.0,0.549161264708297,3.6096426205059346e-06,0.11028138938101081,15
distance_amt_ratio,0.08204533530700386,0.001295489116826164,0.005392626,0.010243124361486888,1654.6377426649765,0.4167640863604063,0.005325600773736452,0.015551157,0.041846958117571935,0.020054943953746483,0.099908549300233,16
trans_is_weekend,5.258660613271058e-05,1.4517758159718541e-08,0.0,0.0875866852790057,17.22095611910418,0.0002671231554808792,5.968076696601878e-08,0.0,0.357824060431056,0.00020872563274322085,0.07165999378000941,17
merchant_frequency,0.021637817237575754,0.03048318100099149,0.034579337,0.0026250939567415976,82.32002840792433,0.10991319735738703,0.1253127102468839,0.09971926,0.010724481416577347,0.0009977552871075854,0.06933348158423598,18
age,0.003796231068325965,0.04584965314960756,0.011657384,0.016748891261705312,195.25745807006905,0.019283640768651963,0.1884824388855619,0.033617355,0.06842542630641339,0.002366607068831445,0.06243509359178118,19
day_cos,0.00026633811925993604,0.0006246817226403136,0.002758805,0.06718390846112665,164.61902240920824,0.0013529125394023537,0.0025679918281233107,0.007955791,0.27447115785475495,0.001995255627869275,0.05766862185576702,20
hour_sin,0.020911281035188262,0.010351867952369715,0.009195695,0.0269177110041382,17.928540651851957,0.10622262560869757,0.04255529070890326,0.026518378,0.10996882252511919,0.000217301871385003,0.05709648382417363,21
trans_count_by_card,0.012560447406840218,0.01920953603047927,0.010034599,0.005503723877424482,3917.4773221596383,0.06380305922575503,0.07896810449297366,0.028937597,0.022484751181506755,0.04748156415763075,0.048335015177122326,22
time_since_last_trans,0.016820334741539645,0.020003600058642886,0.020718323,0.0018140025536043103,420.72790684519094,0.08544192566954562,0.08223240671509097,0.059747126,0.0074108725235499315,0.005099408996900778,0.04798634797170464,23
age_group_encoded,0.0017257884781452723,6.176202612167219e-05,0.006329777,0.049003154022837836,166.83999630516692,0.008766454005632316,0.00025389630050072026,0.018253697,0.2001960399634309,0.0020221748174040466,0.045898452433873665,24
city_pop_category_encoded,0.00021099760171607474,2.3627274031854217e-17,0.00064326986,0.051019051199454934,6.853767437354654,0.0010718003939454927,9.712889690157892e-17,0.00185505,0.20843172682440558,8.307070380661012e-05,0.04228832958059242,25
trans_dayofweek,0.0002571032309473697,0.00014251614242483771,0.004197469,0.048007526290589575,3.92181193770672,0.0013060022577169237,0.000585866811623316,0.012104585,0.19612853179485507,4.7534101622246875e-05,0.04203450396025746,26
day_sin,0.00032878103924515974,0.0004348315458466604,0.0033770383,0.04274821311150989,12.197515098825514,0.0016701026197395127,0.0017875404640058674,0.009738642,0.17464228887080704,0.00014783929761443367,0.03759728260864251,27
